Column 1,Column 2,Correlation,p-value
JOLTS_DurableGoodsManufacturing,JOLTS_LeisureANDHospitality,0.9571269280815388,2.706697225207269e-51
JOLTS_PrivateEducation_HealthServices,JOLTSProfessional_AND_BusinessServices,0.9570380803433894,2.971184511621522e-51
JOLTSProfessional_AND_BusinessServices,JOLTS_PrivateEducation_HealthServices,0.9570380803433894,2.971184511621522e-51
JOLTS_NondurableGoodsManuf,JOLTS_HealthCareSocialAssistance,0.9562944381292452,6.43437197065272e-51
JOLTS_HealthCareSocialAssistance,JOLTS_Transportion_Warehousing_Utilities,0.9562944381292452,6.43437197065272e-51
JOLTS_HealthCareSocialAssistance,JOLTS_NondurableGoodsManuf,0.9562944381292452,6.43437197065272e-51
JOLTS_Transportion_Warehousing_Utilities,JOLTS_HealthCareSocialAssistance,0.9562944381292452,6.43437197065272e-51
JOLTSProfessional_AND_BusinessServices,JOLTS_HealthCareSocialAssistance,0.9552890739697546,1.7907009720174127e-50
JOLTS_HealthCareSocialAssistance,JOLTSProfessional_AND_BusinessServices,0.9552890739697546,1.7907009720174127e-50
JOLTS_DurableGoodsManufacturing,JOLTSProfessional_AND_BusinessServices,0.9454292486763498,1.372641519690378e-46
JOLTSProfessional_AND_BusinessServices,JOLTS_DurableGoodsManufacturing,0.9454292486763498,1.372641519690378e-46
JOLTS_Government,JOLTS_LeisureANDHospitality,0.9309616840943102,4.931320714309401e-42
JOLTS_LeisureANDHospitality,JOLTS_Government,0.9309616840943102,4.931320714309401e-42
JOLTS_Transportion_Warehousing_Utilities,JOLTS_DurableGoodsManufacturing,0.9295801937479136,1.1887975011079298e-41
JOLTS_DurableGoodsManufacturing,JOLTS_NondurableGoodsManuf,0.9295801937479136,1.1887975011079298e-41
JOLTS_NondurableGoodsManuf,JOLTS_DurableGoodsManufacturing,0.9295801937479136,1.1887975011079298e-41
JOLTS_DurableGoodsManufacturing,JOLTS_Transportion_Warehousing_Utilities,0.9295801937479136,1.1887975011079298e-41
JOLTS_HealthCareSocialAssistance,JOLTS_DurableGoodsManufacturing,0.9266470980909478,7.265912915136962e-41
JOLTS_DurableGoodsManufacturing,JOLTS_HealthCareSocialAssistance,0.9266470980909478,7.265912915136962e-41
JOLTS_PrivateEducation_HealthServices,JOLTS_DurableGoodsManufacturing,0.9265097468501952,7.894073061063143e-41
JOLTS_DurableGoodsManufacturing,JOLTS_PrivateEducation_HealthServices,0.9265097468501952,7.894073061063143e-41
JOLTS_Government,JOLTSProfessional_AND_BusinessServices,0.9253645129041818,1.5662625986270244e-40
JOLTSProfessional_AND_BusinessServices,JOLTS_Government,0.9253645129041818,1.5662625986270244e-40
JOLTS_Government,JOLTS_DurableGoodsManufacturing,0.9084397191432985,1.2862721459661475e-36
JOLTS_DurableGoodsManufacturing,JOLTS_Government,0.9084397191432985,1.2862721459661475e-36
JOLTS_RetailTrade,JOLTS_LeisureANDHospitality,0.9007405970688274,4.417186630840485e-35
JOLTS_LeisureANDHospitality,JOLTS_RetailTrade,0.9007405970688274,4.417186630840485e-35
JOLT_TotalNonfarm,JOLTS_RetailTrade,0.8926417269984392,1.3508248086703035e-33
JOLTS_RetailTrade,JOLT_TotalNonfarm,0.8926417269984392,1.3508248086703035e-33
JOLTSProfessional_AND_BusinessServices,JOLTS_RetailTrade,0.8841735448735332,3.645579867084693e-32
JOLTS_RetailTrade,JOLTSProfessional_AND_BusinessServices,0.8841735448735332,3.645579867084693e-32
JOLTS_FinanceANDInsurance,JOLT_TotalNonfarm,0.8826192611020743,6.491140636217351e-32
JOLT_TotalNonfarm,JOLTS_FinanceANDInsurance,0.8826192611020743,6.491140636217351e-32
JOLTS_LeisureANDHospitality,JOLTS_FinanceANDInsurance,0.8825690834610292,6.612271896329524e-32
JOLTS_FinanceANDInsurance,JOLTS_LeisureANDHospitality,0.8825690834610292,6.612271896329524e-32
JOLTS_Information,JOLTS_DurableGoodsManufacturing,0.8731380917649971,1.8526871104457353e-30
JOLTS_DurableGoodsManufacturing,JOLTS_Information,0.8731380917649971,1.8526871104457353e-30
JOLTS_Transportion_Warehousing_Utilities,JOLTS_RetailTrade,0.8650612819940618,2.6208625766098176e-29
JOLTS_RetailTrade,JOLTS_NondurableGoodsManuf,0.8650612819940618,2.6208625766098176e-29
JOLTS_RetailTrade,JOLTS_Transportion_Warehousing_Utilities,0.8650612819940618,2.6208625766098176e-29
JOLTS_NondurableGoodsManuf,JOLTS_RetailTrade,0.8650612819940618,2.6208625766098176e-29
JOLTS_PrivateEducation_HealthServices,JOLTS_FinanceANDInsurance,0.8626928659003005,5.518439239414631e-29
JOLTS_FinanceANDInsurance,JOLTS_PrivateEducation_HealthServices,0.8626928659003005,5.518439239414631e-29
JOLTS_FinanceANDInsurance,JOLTS_HealthCareSocialAssistance,0.8615289693454007,7.916388850526091e-29
JOLTS_HealthCareSocialAssistance,JOLTS_FinanceANDInsurance,0.8615289693454007,7.916388850526091e-29
JOLTSProfessional_AND_BusinessServices,JOLTS_FinanceANDInsurance,0.8584429940842795,2.0287492713799047e-28
JOLTS_FinanceANDInsurance,JOLTSProfessional_AND_BusinessServices,0.8584429940842795,2.0287492713799047e-28
JOLTS_FinanceANDInsurance,JOLTS_DurableGoodsManufacturing,0.8454036372474774,8.577209423649147e-27
JOLTS_DurableGoodsManufacturing,JOLTS_FinanceANDInsurance,0.8454036372474774,8.577209423649147e-27
JOLTS_RetailTrade,JOLTS_DurableGoodsManufacturing,0.8261883753498425,1.1868228618137927e-24
JOLTS_DurableGoodsManufacturing,JOLTS_RetailTrade,0.8261883753498425,1.1868228618137927e-24
JOLTS_FinanceANDInsurance,JOLTS_Transportion_Warehousing_Utilities,0.8211773745439119,3.8892140102809514e-24
JOLTS_FinanceANDInsurance,JOLTS_NondurableGoodsManuf,0.8211773745439119,3.8892140102809514e-24
JOLTS_Transportion_Warehousing_Utilities,JOLTS_FinanceANDInsurance,0.8211773745439119,3.8892140102809514e-24
JOLTS_NondurableGoodsManuf,JOLTS_FinanceANDInsurance,0.8211773745439119,3.8892140102809514e-24
JOLTS_RetailTrade,JOLTS_PrivateEducation_HealthServices,0.8210387984627354,4.016872283792805e-24
JOLTS_PrivateEducation_HealthServices,JOLTS_RetailTrade,0.8210387984627354,4.016872283792805e-24
JOLTS_HealthCareSocialAssistance,JOLTS_RetailTrade,0.81815223622619,7.822327585553915e-24
JOLTS_RetailTrade,JOLTS_HealthCareSocialAssistance,0.81815223622619,7.822327585553915e-24
JOLTS_FinanceANDInsurance,JOLTS_Government,0.8154822732826852,1.4339658340859438e-23
JOLTS_Government,JOLTS_FinanceANDInsurance,0.8154822732826852,1.4339658340859438e-23
JOLT_TotalNonfarm,JOLTS_Information,0.8144645848168823,1.8019542853069973e-23
JOLTS_Information,JOLT_TotalNonfarm,0.8144645848168823,1.8019542853069973e-23
JOLTS_Information,JOLTSProfessional_AND_BusinessServices,0.8143511788002984,1.848251089892511e-23
JOLTSProfessional_AND_BusinessServices,JOLTS_Information,0.8143511788002984,1.848251089892511e-23
JOLTS_LeisureANDHospitality,JOLTS_Information,0.8122814506206586,2.92764729634591e-23
JOLTS_Information,JOLTS_LeisureANDHospitality,0.8122814506206586,2.92764729634591e-23
JOLTS_RetailTrade,JOLTS_FinanceANDInsurance,0.7942692054538953,1.2788879419241101e-21
JOLTS_FinanceANDInsurance,JOLTS_RetailTrade,0.7942692054538953,1.2788879419241101e-21
JOLTS_Government,JOLTS_RetailTrade,0.778202506217686,2.7412896838369124e-20
JOLTS_RetailTrade,JOLTS_Government,0.778202506217686,2.7412896838369124e-20
JOLTS_Transportion_Warehousing_Utilities,JOLTS_Information,0.7656844333728858,2.5145949010276557e-19
JOLTS_NondurableGoodsManuf,JOLTS_Information,0.7656844333728858,2.5145949010276557e-19
JOLTS_Information,JOLTS_Transportion_Warehousing_Utilities,0.7656844333728858,2.5145949010276557e-19
JOLTS_Information,JOLTS_NondurableGoodsManuf,0.7656844333728858,2.5145949010276557e-19
JOLTS_HealthCareSocialAssistance,JOLTS_Information,0.7520880728467757,2.4008874050737935e-18
JOLTS_Information,JOLTS_HealthCareSocialAssistance,0.7520880728467757,2.4008874050737935e-18
JOLTS_Information,JOLTS_PrivateEducation_HealthServices,0.7504723653084914,3.1089762867443034e-18
JOLTS_PrivateEducation_HealthServices,JOLTS_Information,0.7504723653084914,3.1089762867443034e-18
JOLTS_Information,JOLTS_FinanceANDInsurance,0.746804562025827,5.549790542664456e-18
JOLTS_FinanceANDInsurance,JOLTS_Information,0.746804562025827,5.549790542664456e-18
JOLTS_Information,JOLTS_RetailTrade,0.730009344035503,6.979861175335951e-17
JOLTS_RetailTrade,JOLTS_Information,0.730009344035503,6.979861175335951e-17
JOLTS_Government,JOLTS_Information,0.7289741828348553,8.108320800277008e-17
JOLTS_Information,JOLTS_Government,0.7289741828348553,8.108320800277008e-17
UNEMPLOY,JOLTS_Transportion_Warehousing_Utilities,-0.4264330374129789,1.8224976872082717e-05
JOLTS_NondurableGoodsManuf,UNEMPLOY,-0.4264330374129789,1.8224976872082717e-05
UNEMPLOY,JOLTS_NondurableGoodsManuf,-0.4264330374129789,1.8224976872082717e-05
JOLTS_Transportion_Warehousing_Utilities,UNEMPLOY,-0.4264330374129789,1.8224976872082717e-05
JOLTS_Government,UNEMPLOY,-0.4469078511990613,6.320041501815566e-06
UNEMPLOY,JOLTS_Government,-0.4469078511990613,6.320041501815566e-06
UNEMPLOY,JOLTS_RetailTrade,-0.4882133521562638,5.98750616458989e-07
JOLTS_RetailTrade,UNEMPLOY,-0.4882133521562638,5.98750616458989e-07
JOLTSProfessional_AND_BusinessServices,UNEMPLOY,-0.49461997081518144,4.0380633769996184e-07
UNEMPLOY,JOLTSProfessional_AND_BusinessServices,-0.49461997081518144,4.0380633769996184e-07
JOLTS_PrivateEducation_HealthServices,UNEMPLOY,-0.4951194465943206,3.914614526535694e-07
UNEMPLOY,JOLTS_PrivateEducation_HealthServices,-0.4951194465943206,3.914614526535694e-07
UNEMPLOY,JOLTS_HealthCareSocialAssistance,-0.4980841718440068,3.252439666010274e-07
JOLTS_HealthCareSocialAssistance,UNEMPLOY,-0.4980841718440068,3.252439666010274e-07
JOLTS_DurableGoodsManufacturing,UNEMPLOY,-0.5195314215995479,8.068048819797172e-08
UNEMPLOY,JOLTS_DurableGoodsManufacturing,-0.5195314215995479,8.068048819797172e-08
UNEMPLOY,JOLT_TotalNonfarm,-0.5241649368473038,5.894002147202175e-08
JOLT_TotalNonfarm,UNEMPLOY,-0.5241649368473038,5.894002147202175e-08
UNEMPLOY,JOLTS_Information,-0.533243188760481,3.142450609926675e-08
JOLTS_Information,UNEMPLOY,-0.533243188760481,3.142450609926675e-08
UNEMPLOY,JOLTS_LeisureANDHospitality,-0.5458515308545037,1.2715168094788609e-08
JOLTS_LeisureANDHospitality,UNEMPLOY,-0.5458515308545037,1.2715168094788609e-08
UNEMPLOY,JOLTS_FinanceANDInsurance,-0.6093083277683417,7.182885238645017e-11
JOLTS_FinanceANDInsurance,UNEMPLOY,-0.6093083277683417,7.182885238645017e-11
